Issue Key,Request Type,Log-Date,Author,comment,Tax,Time Spent,Amount
ELEG-20,Service Request,2023-01-05T08:15:01.323+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-06T08:15:01.284+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-09T08:15:01.469+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-10T08:15:01.843+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-11T08:15:02.916+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-12T08:15:03.337+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-13T08:15:03.261+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-16T08:15:04.012+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-17T08:15:04.072+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-18T08:15:58.688+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-19T08:15:58.276+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-20T08:15:58.195+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-23T08:15:58.955+0000,navi,FIXED:500:15:travel,0.25
ELEG-20,Service Request,2023-01-24T08:15:59.240+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-25T08:15:59.428+0000,navi,FIXED:200:20:travel,0.25
ELEG-20,Service Request,2023-01-26T08:16:00.009+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-27T08:15:59.909+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-30T08:16:00.263+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-01-31T08:16:00.152+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-02-01T08:16:00.364+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-02-02T08:16:00.765+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-02-03T08:15:01.165+0000,navi,angular-adhocwork,0.25
ELEG-20,Service Request,2023-03-02T16:49:59.920+0000,fayaz,FIXED:1000:10:test1,0.25
ELEG-20,Service Request,2023-03-02T16:50:29.987+0000,fayaz,ADHOC:Test-1,0.25
ELEG-20,Service Request,2023-03-08T17:36:01.035+0000,fayaz,,245.56666666666666
